"Name","User","Date","Probe1","Perimeter1","Probe2","Perimeter2","Trough","Width","Area","Symmetric","Subphase","Surface","pH","Temperature","Addition","Concentration","Unit","Substance1","MW1","Concentration1","Unit1","Volume1","Substance2","MW2","Concentration2","Unit2","Volume2","Substrate","Height","Shape","Thickness","Speed","Unit_Speed","HTML","IMG"
"Chol_B0415X36","MariaPB","2021-04-15 00:00:00","NIMA Plates","20.6","NIMA Plates","20.6","Maria","20","23850","True","Water","72.8","","36","","","Unknown","Chol","386.6","0.5","mg/ml","50","","","","Unknown","","","80","Rectangle","","9.988","mm/min","",""
"Chol_B0414Y25Sc2","MariaPB","2021-04-14 00:00:00","NIMA Plates","20.6","NIMA Plates","20.6","Maria","20","23850","True","Water","72.8","nan","25","nan","nan","Unknown","Chol","386.6","0.5","mg/ml","50","nan","nan","nan","Unknown","nan","nan","80","Rectangle","nan","4.981","mm/min","",""
"Chol_B0414Y25Sc","MariaPB","2021-04-14 00:00:00","NIMA Plates","20.6","NIMA Plates","20.6","Maria","20","23850","True","Water","72.8","nan","25","nan","nan","Unknown","Chol","386.6","0.5","mg/ml","50","nan","nan","nan","Unknown","nan","nan","80","Rectangle","nan","4.981","mm/min","",""
"DPPC-B2103X","MariaPB","2021-03-26 00:00:00","NIMA Plates","20.6","NIMA Plates","20.6","Maria","20","23850","True","Water","72.8","","25","","","Unknown","DPPC","734","0.5","mg/ml","50","","","","Unknown","","","80","Rectangle","","9.988","mm/min","",""
"Chol_B0414Y","MariaPB","2021-04-14 00:00:00","NIMA Plates","20.6","NIMA Plates","20.6","Maria","20","23850","True","Water","72.8","","20","","","Unknown","Chol","386.6","0.5","mg/ml","50","","","","Unknown","","","80","Rectangle","","9.988","mm/min","",""
"Chol_B0422Y20","MariaPB","2021-04-22 00:00:00","NIMA Plates","20.6","NIMA Plates","20.6","Maria","20","23850","True","PBS","72.8","","20","","","Unknown","Chol","386.6","0.5","mg/ml","50","","","","Unknown","","","80","Rectangle","","9.988","mm/min","",""
"DPPC_W1","MariaPB","2021-02-26 00:00:00","NIMA Plates","20.6","NIMA Plates","20.6","Maria2","","23850","True","Water","72.8","","20","","","Unknown","DPPC","734","0.5","mg/ml","50","","","","Unknown","","","","Rectangle","","9.988","mm/min","",""
"Chol_B0414Y25","MariaPB","2021-04-14 00:00:00","NIMA Plates","20.6","NIMA Plates","20.6","Maria","20","23850","True","Water","72.8","","25","","","Unknown","Chol","386.6","0.5","mg/ml","50","","","","Unknown","","","80","Rectangle","","9.988","mm/min","",""
"DPPC_cont2","MariaPB","2021-02-26 00:00:00","NIMA Plates","20.6","NIMA Plates","20.6","Maria2","","23850","True","Water","72.8","","20","","","Unknown","DPPC","734","0.5","mg/ml","50","","","","Unknown","","","","Rectangle","","9.988","mm/min","",""
"Chol_B0414Y25S","MariaPB","2021-04-14 00:00:00","NIMA Plates","20.6","NIMA Plates","20.6","Maria","20","23850","True","Water","72.8","nan","25","nan","nan","Unknown","Chol","386.6","0.5","mg/ml","50","nan","nan","nan","Unknown","nan","nan","80","Rectangle","nan","4.981","mm/min","",""
"Chol_W1","MariaPB","2021-02-26 00:00:00","NIMA Plates","20.6","NIMA Plates","20.6","Maria2","nan","23850","True","Water","72.8","nan","20","nan","nan","Unknown","Chol","386.6","0.5","mg/ml","50","nan","nan","nan","Unknown","nan","nan","nan","Rectangle","nan","9.988","mm/min","",""
"DPPC_W1_cont","MariaPB","2021-02-26 00:00:00","NIMA Plates","20.6","NIMA Plates","20.6","Maria2","","23850","True","Water","72.8","","20","","","Unknown","DPPC","734","0.5","mg/ml","50","","","","Unknown","","","","Rectangle","","9.988","mm/min","",""
"DPPC_B0413Y","MariaPB","2021-04-13 00:00:00","NIMA Plates","20.6","NIMA Plates","20.6","Maria","20","23850","True","Water","72.8","","20","","","Unknown","DPPC","734","0.5","mg/ml","50","","","","Unknown","","","80","Rectangle","","9.988","mm/min","",""
"DPPC_B0314Y2","MariaPB","2021-04-13 00:00:00","NIMA Plates","20.6","NIMA Plates","20.6","Maria","20","23850","True","Water","72.8","","25","","","Unknown","DPPC","734","0.5","mg/ml","50","","","","Unknown","","","80","Rectangle","","9.988","mm/min","",""
"DPPC_B0415X36","MariaPB","2021-04-15 00:00:00","NIMA Plates","20.6","NIMA Plates","20.6","Maria","20","23850","True","Water","72.8","","36","","","Unknown","DPPC","734","0.5","mg/ml","50","","","","Unknown","","","80","Rectangle","","9.988","mm/min","",""
